model_id,checkpoint,kernel_mode,lm_loss,perplexity,input_len,output_len,batch_size,tokens_per_second,time_to_first_token_ms,peak_memory_gib,source_artifact
parent-8b,nvidia/Nemotron-H-8B-Base-8K,native,,,4096,256,1,3.1155961022463425,305.17992842942476,21.541951656341553,outputs/eval/01_baseline.json
parent-8b,nvidia/Nemotron-H-8B-Base-8K,native,,,4096,256,2,3.210383700064569,600.291789509356,27.965449810028076,outputs/eval/01_baseline.json
parent-8b,nvidia/Nemotron-H-8B-Base-8K,native,,,4096,256,4,3.252842205070156,1177.6109421625733,40.80658674240112,outputs/eval/01_baseline.json
parent-8b,nvidia/Nemotron-H-8B-Base-8K,native,,,4096,512,1,3.0246715044324874,303.8116339594126,21.91695737838745,outputs/eval/01_baseline.json
parent-8b,nvidia/Nemotron-H-8B-Base-8K,native,,,4096,512,2,3.1134016096761985,600.6236057728529,28.713508129119873,outputs/eval/01_baseline.json
parent-8b,nvidia/Nemotron-H-8B-Base-8K,native,,,4096,512,4,3.1476129541193285,1181.0710951685905,42.30660963058472,outputs/eval/01_baseline.json
parent-8b,nvidia/Nemotron-H-8B-Base-8K,native,,,8192,256,1,2.1758385011584376,602.1240828558803,27.446887969970703,outputs/eval/01_baseline.json
parent-8b,nvidia/Nemotron-H-8B-Base-8K,native,,,8192,256,2,7.816794596017981,1186.8034591898322,39.37199640274048,outputs/eval/01_baseline.json
parent-8b,nvidia/Nemotron-H-8B-Base-8K,native,,,8192,256,4,7.85522803277242,2379.121915437281,63.62358617782593,outputs/eval/01_baseline.json
parent-8b,nvidia/Nemotron-H-8B-Base-8K,native,,,8192,512,1,4.329316865840528,607.3680510744452,27.446887969970703,outputs/eval/01_baseline.json
parent-8b,nvidia/Nemotron-H-8B-Base-8K,native,,,8192,512,2,15.499892622248922,1194.4289552047849,39.37199640274048,outputs/eval/01_baseline.json
parent-8b,nvidia/Nemotron-H-8B-Base-8K,native,,,8192,512,4,15.70397069528953,2385.8313225209713,63.62358617782593,outputs/eval/01_baseline.json
cand-006-pre-kd,outputs/checkpoints/cand-006,native,6.922303911168614,1014.654978641674,4096,256,1,4.663134451870451,200.702209956944,38.00618362426758,outputs/eval/05_candidates.json
cand-006-pre-kd,outputs/checkpoints/cand-006,native,6.922303911168614,1014.654978641674,4096,256,4,4.924630248463845,777.3740533739328,57.24020957946777,outputs/eval/05_candidates.json
cand-009-pre-kd,outputs/checkpoints/cand-009,native,6.922303911168614,1014.654978641674,4096,256,1,4.714910928896622,199.59070533514023,39.12632608413696,outputs/eval/05_candidates.json
cand-009-pre-kd,outputs/checkpoints/cand-009,native,6.922303911168614,1014.654978641674,4096,256,4,4.925824287486771,775.4817251116037,58.36035203933716,outputs/eval/05_candidates.json
cand-016-pre-kd,outputs/checkpoints/cand-016,native,6.922303911168614,1014.654978641674,4096,256,1,4.713704998123723,200.5793647840619,38.26399612426758,outputs/eval/05_candidates.json
cand-016-pre-kd,outputs/checkpoints/cand-016,native,6.922303911168614,1014.654978641674,4096,256,4,4.924868732346247,775.8896220475435,57.49802207946777,outputs/eval/05_candidates.json
cand-016-final35m,/arf/scratch/skantar/MinitronSSM/outputs/checkpoints/cand-016-mini-final2,native,3.2884376643156576,26.80095883536102,4096,256,1,4.679154746642896,202.07062410190701,15.481542587280273,outputs/eval/12_report_final35m_efficiency.json
cand-016-final35m,/arf/scratch/skantar/MinitronSSM/outputs/checkpoints/cand-016-mini-final2,native,3.2884376643156576,26.80095883536102,4096,256,4,4.862145702910315,791.4773062802851,34.71898651123047,outputs/eval/12_report_final35m_efficiency.json
